卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
86,メタング,金属怪,MC,497/742,宝可梦/1阶进化,无,无,铁哑铃,100,钢,火,草,2,[特性]金属梅-卡-,无,无,自己的番1次可以使用。自己的牌库从上方4张查看，该其中从「基本【钢】能量」任意选择，自己的宝可梦以任意方式附上。残的卡全部反面切，牌库的下方放次。
86,メタング,金属怪,MC,497/742,宝可梦/1阶进化,无,无,铁哑铃,100,钢,火,草,2,光束,钢●●,60,无
87,ミライドン,密勒顿,MC,552/742,宝可梦/基础,无,未来,无,110,龙,无,无,2,加速皮-库,●,40,自己的牌库从基本能量卡最多2张选择，自己的「未来」的宝可梦以任意方式附上。然后洗牌库。
87,ミライドン,密勒顿,MC,552/742,宝可梦/基础,无,未来,无,110,龙,无,无,2,斯帕-基恩古阿塔库,雷雷超,160,无
88,バルビート,电萤虫,SV6,004/101,宝可梦/基础,无,无,无,70,草,火,无,1,夫阿斯托萨伊恩,●,无,这个招式，先攻玩家的最初的番在也可以使用。自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
88,バルビート,电萤虫,SV6,004/101,宝可梦/基础,无,无,无,70,草,火,无,1,阿塔库,●●,20,自己的备战区「伊鲁米-泽」的话，60点伤害追加。
89,サルノリ,敲音猴,SV8a,006/187,宝可梦/基础,无,无,无,70,草,火,无,1,和,草,10,无
89,サルノリ,敲音猴,SV8a,006/187,宝可梦/基础,无,无,无,70,草,火,无,1,无,草草,30,无
90,バチンキー,啪咚猴,SV8a,007/187,宝可梦/1阶进化,无,无,敲音猴,100,草,火,无,2,[特性]多恩多恩,无,无,自己的战斗宝可梦特性「」带有宝可梦的话，自己的番1次可以使用。自己的牌库从任意卡牌1张选择，加入手牌。然后洗牌库。
90,バチンキー,啪咚猴,SV8a,007/187,宝可梦/1阶进化,无,无,敲音猴,100,草,火,无,2,拍打,草草,50,无
91,ゴリランダー,轰擂金刚猩,SV6,010/101,宝可梦/2阶进化,无,无,啪咚猴,180,草,火,无,4,多拉姆阿塔库,草,60,下一个对手的次合，这个招式受到宝可梦，使用招式所需的能量和【撤退】所需的能量，各自【无】能量1个多。
91,ゴリランダー,轰擂金刚猩,SV6,010/101,宝可梦/2阶进化,无,无,啪咚猴,180,草,火,无,4,木锤,草草,180,这宝可梦也对50点伤害。
92,カジッチュ,啃果虫,SV6,011/101,宝可梦/基础,无,无,无,40,草,火,无,1,洛-利恩古阿塔库,草,10,硬币1次掷正面的话，20点伤害追加。
93,カミッチュ,裹蜜虫,SV8a,009/187,宝可梦/1阶进化,无,无,啃果虫,80,草,火,无,2,[特性],无,无,场上「祭典会场」出的话，这宝可梦，带有招式2次连续在可以使用。（1次目的招式在对手的战斗宝可梦【昏厥】的话，次的战斗宝可梦出之后，2次目的使用招式。）
93,カミッチュ,裹蜜虫,SV8a,009/187,宝可梦/1阶进化,无,无,啃果虫,80,草,火,无,2,和也的,草,20×,自己的备战区宝可梦的数×20点伤害。
94,ヤバソチャ,来悲粗茶,SV8a,018/187,宝可梦/1阶进化,无,无,斯魔茶,70,草,火,无,1,的的,草,无,伤害指示物4个，对手的宝可梦以任意方式放置。
94,ヤバソチャ,来悲粗茶,SV8a,018/187,宝可梦/1阶进化,无,无,斯魔茶,70,草,火,无,1,无,草,70×,自己的场上的宝可梦附有【草】能量最多3张弃牌区，该张数×70点伤害。
95,オーガポン みどりのめん,厄诡椪 碧草面具,MC,080/742,宝可梦/基础,无,无,无,110,草,火,无,1,、,●,无,自己的牌库从基本能量卡最多2张选择，给对手查看，加入手牌。然后洗牌库。
95,オーガポン みどりのめん,厄诡椪 碧草面具,MC,080/742,宝可梦/基础,无,无,无,110,草,火,无,1,无,草●,20,对手的备战区宝可梦的数×20点伤害追加。
96,オーガポン みどりのめんex,厄诡椪 碧草面具ex,MC,082/742,宝可梦/基础,ex,太晶(草),无,210,草,火,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
96,オーガポン みどりのめんex,厄诡椪 碧草面具ex,MC,082/742,宝可梦/基础,ex,太晶(草),无,210,草,火,无,1,[特性]的,无,无,自己的番1次可以使用。自己的手牌从「基本【草】能量」1张选择，这宝可梦附上。之后，自己的牌库1张抽牌。
96,オーガポン みどりのめんex,厄诡椪 碧草面具ex,MC,082/742,宝可梦/基础,ex,太晶(草),无,210,草,火,无,1,无,草草草,30,双方的战斗宝可梦附有能量的数×30点伤害追加。
97,ヒトモシ,烛光灵,SV6,019/101,宝可梦/基础,无,无,无,60,火,水,无,1,呼唤伙伴,火,无,自己的牌库从【基础】宝可梦1张选择，备战区放出。然后洗牌库。
97,ヒトモシ,烛光灵,SV6,019/101,宝可梦/基础,无,无,无,60,火,水,无,1,无,火●,20,无
98,シャンデラ,水晶灯火灵,SV6,021/101,宝可梦/2阶进化,无,无,灯火幽灵,130,火,水,无,2,[特性],无,无,自己的番1次可以使用。双方玩家，各自牌库1张抽牌。
98,シャンデラ,水晶灯火灵,SV6,021/101,宝可梦/2阶进化,无,无,灯火幽灵,130,火,水,无,2,玛伊恩多鲁-拉-,火,30×,对手的手牌的张数×30点伤害。
99,オーガポン かまどのめんex,厄诡椪 火灶面具ex,MC,149/742,宝可梦/基础,ex,太晶(火),无,210,火,水,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
99,オーガポン かまどのめんex,厄诡椪 火灶面具ex,MC,149/742,宝可梦/基础,ex,太晶(火),无,210,火,水,无,1,无,火●●,20×,这宝可梦放置有伤害指示物的数×20点伤害。
99,オーガポン かまどのめんex,厄诡椪 火灶面具ex,MC,149/742,宝可梦/基础,ex,太晶(火),无,210,火,水,无,1,达伊纳米库爆炎,火火火,140,对手的战斗宝可梦進化宝可梦的话，140点伤害追加。该情况，这宝可梦附有能量，全部弃牌区。
100,トサキント,角金鱼,SV8a,028/187,宝可梦/基础,无,无,无,50,水,雷,无,1,[特性],无,无,场上「祭典会场」出的话，这宝可梦，带有招式2次连续在可以使用。（1次目的招式在对手的战斗宝可梦【昏厥】的话，次的战斗宝可梦出之后，2次目的使用招式。）
100,トサキント,角金鱼,SV8a,028/187,宝可梦/基础,无,无,无,50,水,雷,无,1,无,●●,10,硬币1次掷正面的话，对手的战斗宝可梦附有能量1个选择，弃牌区。
101,ルージュラ,迷唇姐,SV6,028/101,宝可梦/基础,无,无,无,90,水,钢,无,1,基斯,●,无,自己的牌库从【基础】宝可梦1张选择，备战区放出。然后洗牌库。之后，这宝可梦附有能量1个选择，新放出宝可梦改附。
101,ルージュラ,迷唇姐,SV6,028/101,宝可梦/基础,无,无,无,90,水,钢,无,1,雪冰,水,30,无
102,ミロカロス,美纳斯,SV8a,036/187,宝可梦/1阶进化,无,无,笨笨鱼,120,水,雷,无,1,[特性]的,无,无,这宝可梦期间，对手的场上的宝可梦和，该宝可梦附有全部的卡，手牌也对。
102,ミロカロス,美纳斯,SV8a,036/187,宝可梦/1阶进化,无,无,笨笨鱼,120,水,雷,无,1,水炮水花,水●●,100,无
103,ユキワラシ,雪童子,MC,186/742,宝可梦/基础,无,无,无,60,水,钢,无,1,无,水●,20,对手的手牌从正面見在1张选择，该卡的正面查看，对手的牌库放次并洗切。
104,ユキメノコ,雪妖女,SV8a,038/187,宝可梦/1阶进化,无,无,雪童子,90,水,钢,无,1,[特性]带有和,无,无,这宝可梦期间，宝可梦奇艾库的每当，双方的特性带有宝可梦（「雪妖女」除外）全員，各自伤害指示物1个放置。
104,ユキメノコ,雪妖女,SV8a,038/187,宝可梦/1阶进化,无,无,雪童子,90,水,钢,无,1,夫洛斯托猛击,水●,60,无
105,ナミイルカ,波普海豚,MC,214/742,宝可梦/基础,无,无,无,70,水,雷,无,1,水流劈斩,水,30,下一个自己的次合，这宝可梦招式不能使用。
106,イルカマン,海豚侠,MC,215/742,宝可梦/1阶进化,无,无,波普海豚,100,水,雷,无,1,[特性]玛伊特伊奇艾恩吉,无,无,自己的番，这宝可梦战斗场从备战区返次时，1次可以使用。自己的牌库从「海豚侠【ex】」1张选择，这卡和互换（附有卡・伤害指示物・特殊状态・效果，全部引）。互换后的的话，这张卡牌库放次。然后洗牌库。
106,イルカマン,海豚侠,MC,215/742,宝可梦/1阶进化,无,无,波普海豚,100,水,雷,无,1,飞溅,水●,30,无
107,イルカマンex,海豚侠ex,MC,216/742,宝可梦/1阶进化,ex,无,波普海豚,340,水,雷,无,2,[特性]玛伊特伊索乌鲁,无,无,这张卡，「海豚侠」的特性「玛伊特伊奇艾恩吉」的效果场上出。
107,イルカマンex,海豚侠ex,MC,216/742,宝可梦/1阶进化,ex,无,波普海豚,340,水,雷,无,2,吉盖恩帕库托,水,250,下一个自己的次合，这宝可梦招式不能使用。
108,オーガポン いどのめんex,厄诡椪 水井面具ex,MC,224/742,宝可梦/基础,ex,太晶(水),无,210,水,雷,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
108,オーガポン いどのめんex,厄诡椪 水井面具ex,MC,224/742,宝可梦/基础,ex,太晶(水),无,210,水,雷,无,1,没有,●,20,下一个对手的次合，这个招式受到宝可梦，不能撤退。
108,オーガポン いどのめんex,厄诡椪 水井面具ex,MC,224/742,宝可梦/基础,ex,太晶(水),无,210,水,雷,无,1,波恩普,水●●,100,可以选择，这宝可梦附有能量3个选择，牌库放次并洗切。该情况，对手的备战区宝可梦1只也对，120点伤害。［备战区弱点・抵抗力不计算。］
109,ケーシィ,凯西,SV8a,057/187,宝可梦/基础,无,无,无,40,超,恶,斗,1,[特性]特雷波-塔-,无,无,这宝可梦战斗场的话，自己的番1次可以使用。这宝可梦和，附有全部的卡，自己的牌库放次并洗切。
109,ケーシィ,凯西,SV8a,057/187,宝可梦/基础,无,无,无,40,超,恶,斗,1,光束,超,10,无
110,ペロリーム,胖甜妮,SV6,052/101,宝可梦/1阶进化,无,无,绵绵泡芙,120,超,钢,无,2,佩洛佩洛利恩,超●,90×,硬币2次掷，正面的数×90点伤害。全部反面的话，对手的战斗宝可梦【混乱】。
111,スナバァ,沙丘娃,SV6,053/101,宝可梦/基础,无,无,无,90,超,恶,斗,3,无,超,10,下一个对手的次合，这个招式受到宝可梦使用招式时，对手硬币1次掷。反面的话该招式失败。
111,スナバァ,沙丘娃,SV6,053/101,宝可梦/基础,无,无,无,90,超,恶,斗,3,霍洛乌射击,超●●,30,无
112,マシマシラ,愿增猿,MC,358/742,宝可梦/基础,无,无,无,110,超,恶,斗,1,[特性]阿多雷纳布光线恩,无,无,这宝可梦【恶】能量附有的话，自己的番1次可以使用。自己的场上的宝可梦1只放置有伤害指示物最多3个选择，对手的场上的宝可梦1只转移放置。
112,マシマシラ,愿增猿,MC,358/742,宝可梦/基础,无,无,无,110,超,恶,斗,1,精神托利普,超●,60,对手的战斗宝可梦【混乱】。
113,ドッコラー,搬运小匠,SV6,059/101,宝可梦/基础,无,无,无,80,斗,超,无,2,拳,斗,40,硬币1次掷反面的话，这个招式失败。
114,ドテッコツ,铁骨土人,SV6,060/101,宝可梦/1阶进化,无,无,搬运小匠,100,斗,超,无,2,无,斗,20,无
114,ドテッコツ,铁骨土人,SV6,060/101,宝可梦/1阶进化,无,无,搬运小匠,100,斗,超,无,2,从,斗●●,50,可以选择，30点伤害追加。该情况，这宝可梦也对30点伤害。
115,ローブシン,修缮老头,SV6,061/101,宝可梦/2阶进化,无,无,铁骨土人,180,斗,超,无,3,无,斗,80,这宝可梦【混乱】。
115,ローブシン,修缮老头,SV6,061/101,宝可梦/2阶进化,无,无,铁骨土人,180,斗,超,无,3,嘎兹斯伊恩古,斗●●●,250,这个招式，这宝可梦特殊状态的话，这个招式使用所需的能量这宝可梦附有没有也，可以使用。
116,イイネイヌ,够赞狗,MC,426/742,宝可梦/基础,无,无,无,130,斗,超,无,2,[特性]阿多雷纳力量,无,无,这宝可梦【恶】能量附有的话，这宝可梦的最大HP「+100」，这宝可梦使用招式的，对手的战斗宝可梦对伤害「+100」。
116,イイネイヌ,够赞狗,MC,426/742,宝可梦/基础,无,无,无,130,斗,超,无,2,古多拳,斗斗,70,无
117,オーガポン いしずえのめんex,厄诡椪 础石面具ex,MC,428/742,宝可梦/基础,ex,太晶(斗),无,210,斗,草,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
117,オーガポン いしずえのめんex,厄诡椪 础石面具ex,MC,428/742,宝可梦/基础,ex,太晶(斗),无,210,斗,草,无,1,[特性]的,无,无,这宝可梦，对手的特性带有宝可梦从招式的伤害不受。
117,オーガポン いしずえのめんex,厄诡椪 础石面具ex,MC,428/742,宝可梦/基础,ex,太晶(斗),无,210,斗,草,无,1,、,斗●●,140,这招式的伤害，弱点・抵抗力和，对手的战斗宝可梦效果不计算。
118,ヒードラン,席多蓝恩,SV6,076/101,宝可梦/基础,无,无,无,140,钢,火,草,4,[特性]身体,无,无,这宝可梦，战斗场在对手的宝可梦从招式的伤害受到时，招式使用过宝可梦【灼伤】。
118,ヒードラン,席多蓝恩,SV6,076/101,宝可梦/基础,无,无,无,140,钢,火,草,4,钢巴-斯托,钢●●,50×,这宝可梦附有【钢】能量全部弃牌区，该张数×50点伤害。
119,ドラメシヤ,多龙梅西亚,MC,546/742,宝可梦/基础,无,无,无,70,龙,无,无,1,和,超,10,无
119,ドラメシヤ,多龙梅西亚,MC,546/742,宝可梦/基础,无,无,无,70,龙,无,无,1,咬住,火超,40,无
120,ドロンチ,多龙奇,MC,547/742,宝可梦/1阶进化,无,无,多龙梅西亚,90,龙,无,无,1,[特性],无,无,自己的番1次可以使用。自己的牌库从上方2张查看，1张选择，加入手牌。残的卡，牌库的下方放次。
120,ドロンチ,多龙奇,MC,547/742,宝可梦/1阶进化,无,无,多龙梅西亚,90,龙,无,无,1,利尤-兹头槌,火超,70,无
121,ドラパルトex,多龙巴鲁托ex,MC,548/742,宝可梦/2阶进化,ex,太晶(龙),多龙奇,320,龙,无,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
121,ドラパルトex,多龙巴鲁托ex,MC,548/742,宝可梦/2阶进化,ex,太晶(龙),多龙奇,320,龙,无,无,1,喷射头槌,●,70,无
121,ドラパルトex,多龙巴鲁托ex,MC,548/742,宝可梦/2阶进化,ex,太晶(龙),多龙奇,320,龙,无,无,1,夫阿恩托姆达伊布,火超,200,伤害指示物6个，对手的备战区宝可梦以任意方式放置。
122,シャリタツ,米立龙,MC,549/742,宝可梦/基础,无,无,无,70,龙,无,无,1,[特性],无,无,这宝可梦战斗场的话，自己的番1次可以使用。自己的牌库从上方6张查看，该其中从支援者卡1张选择，给对手查看，加入手牌。残的卡牌库放次并洗切。
122,シャリタツ,米立龙,MC,549/742,宝可梦/基础,无,无,无,70,龙,无,无,1,的,火水,50,无
123,カモネギ,大葱鸭,SV6,083/101,宝可梦/基础,无,无,无,70,无,雷,斗,1,[特性]在和,无,无,自己的番，从手牌将这张卡备战区放出时，1次可以使用。自己的牌库从「宝可梦道具」1张选择，这宝可梦附上。然后洗牌库。
123,カモネギ,大葱鸭,SV6,083/101,宝可梦/基础,无,无,无,70,无,雷,斗,1,无,●,30,对手的战斗宝可梦附有特殊能量卡1个选择，弃牌区。
124,ラッキー,吉利蛋,MC,561/742,宝可梦/基础,无,无,无,120,无,斗,无,2,吉利蛋阿塔奇,●,无,自己的手牌从基本能量卡1张选择，自己的宝可梦附上。
124,ラッキー,吉利蛋,MC,561/742,宝可梦/基础,无,无,无,120,无,斗,无,2,从,●●●,80,下一个自己的次合，这宝可梦招式不能使用。
125,ハピナスex,幸福蛋ex,MC,562/742,宝可梦/1阶进化,ex,无,吉利蛋,300,无,斗,无,4,[特性]哈皮-斯伊奇,无,无,自己的番1次可以使用。自己的场上的宝可梦附有基本能量卡1个选择，自己的其他宝可梦改附。
125,ハピナスex,幸福蛋ex,MC,562/742,宝可梦/1阶进化,ex,无,吉利蛋,300,无,斗,无,4,无,●●●,180,可以选择，自己的手牌6张，从牌库抽牌。
126,デンチュラ,电蜘蛛,MC,050/742,宝可梦/1阶进化,无,无,电电虫,100,草,火,无,1,[特性],无,无,这宝可梦使用招式的，对手的战斗场的特性带有宝可梦对伤害「+50」。
126,デンチュラ,电蜘蛛,MC,050/742,宝可梦/1阶进化,无,无,电电虫,100,草,火,无,1,比利比利乌艾布,草●,50,这宝可梦【雷】能量附有的话，80点伤害追加。
127,モクロー,木木枭,SV6a,003/064,宝可梦/基础,无,无,无,70,草,火,无,1,无,●,无,自己的牌库1张抽牌。
127,モクロー,木木枭,SV6a,003/064,宝可梦/基础,无,无,无,70,草,火,无,1,这,草,10,无
128,フクスロー,投羽枭,SV6a,004/064,宝可梦/1阶进化,无,无,木木枭,90,草,火,无,1,的,●,20×,自己的弃牌区，招式「的」带有宝可梦的张数×20点伤害。
128,フクスロー,投羽枭,SV6a,004/064,宝可梦/1阶进化,无,无,木木枭,90,草,火,无,1,切割乌伊恩多,草,30,无
129,ジュナイパー,狙射树枭,SV6a,005/064,宝可梦/2阶进化,无,无,投羽枭,150,草,火,无,2,羽毛斯托库,●,无,自己的手牌7张，从牌库抽牌。
129,ジュナイパー,狙射树枭,SV6a,005/064,宝可梦/2阶进化,无,无,投羽枭,150,草,火,无,2,斯托洛恩古射击,草,170,自己的手牌从「基本【草】能量」1张弃牌区。弃牌区不能的话，这个招式失败。
